StudentID,Gender,Grade,SES,AttendanceRate,AttendanceDays,MathScore,ReadingScore,ScienceScore,BehaviourScore,Extracurricular,AverageScore,PerformanceBand,AtRisk,PerformanceCategory,RiskScore
S1018,Female,9,Low,0.92586056591293,167,74.01482755790495,71.83056610935161,72.20297813230039,2.6282543448925786,Sports,72.68279059985231,Average,True,Moderate,1.0672855447983396
S1020,Male,11,Middle,0.9214706104555366,166,46.79425212553981,52.12007636074064,60.022395956123376,9.642953346495734,None,52.97890814746794,Below Average,True,Critical,3.5105459262660297
S1021,Female,9,Middle,0.949879897474727,171,92.61379671041502,71.3908573912853,87.39062536416301,3.6678975816653314,Arts,83.7984264886211,Strong,True,High,0.5994460882506009
S1024,Female,11,High,1.0,180,58.38586490748208,57.82523922255678,76.17520544450076,4.866478949507922,Debate,64.12876985817987,Below Average,True,Low,0.060084472721435134
S1025,Male,9,Middle,0.8739591462267171,157,64.87525956320277,32.33554821351599,35.87796086183889,5.999929962336425,Arts,44.362922879519225,Poor,True,Critical,8.729968442305289
S1031,Female,9,Middle,0.8840364412733587,159,42.8752397879305,54.89087730883716,53.28096679512533,5.367706811808988,None,50.349027963964325,Below Average,True,Critical,5.384210573450285
S1032,Female,12,Low,0.7925662565414117,143,61.16563474871152,61.504257128069284,84.34415510681868,6.455863520696408,Science Club,69.00468232786649,Average,True,Moderate,3.760181021050592
S1033,Male,12,Low,0.8884546986991544,160,49.78982995180923,56.0384033975727,59.00314861799032,8.280874210210253,None,54.94379398912408,Below Average,True,Critical,2.9321885509675565
S1042,Female,12,Low,0.8407860075787615,151,67.13042991936041,75.13305369229802,73.85709426465812,5.454086010320185,Arts,72.04019262543885,Average,True,Moderate,2.0724897347433466
S1044,Female,10,Middle,0.9907664072432772,178,44.00478808060309,32.32568590941829,37.609547755633834,8.467582264343092,Sports,37.980007248551736,Poor,True,Critical,11.009996375724132
S1046,Female,11,Middle,0.8172119282545474,147,81.81655196524467,94.10404426781218,64.96211465721447,7.9870394400358125,None,80.29423696342378,Strong,True,High,2.897582511090843
S1050,Non-binary,11,Middle,0.824334340472338,148,66.80767218542715,84.6332763789488,60.12515395511172,6.459098563065729,None,70.52203417316257,Average,True,Moderate,2.6482980834681706
S1053,Male,12,Low,0.9228188356258845,166,86.94321543069007,68.2306191202644,58.82215218553957,4.864769666545593,Science Club,71.33199557883135,Average,True,Moderate,0.06085365005448322
S1054,Male,11,Low,0.8929960717112454,161,90.25627442480098,81.33524176742473,89.47138354626611,4.598067487656973,Debate,87.02096657949727,Strong,True,High,0.42600712066077395
S1058,Female,9,High,0.927217737902714,167,71.21119526572984,85.17940014641357,83.5510805784555,3.6525270658093008,Sports,79.98055866353296,Average,True,High,0.6063628203858146
S1062,Male,11,Middle,0.8279531497558628,149,97.92854845448092,100.0,65.55777177354435,6.4191456437438905,None,87.82877340934175,Strong,True,High,2.521639758544804
S1066,Female,10,High,1.0,180,50.4011594851148,40.67974354533572,58.385233762970934,7.605609767591671,Sports,49.82204559780715,Poor,True,Critical,5.0889772010964265
S1068,Female,11,Low,0.9907578310438296,178,56.13593967441803,45.66737117394085,52.498040364342586,6.74549801801506,Sports,51.433783737567154,Below Average,True,Critical,4.283108131216423
S1071,Female,11,Low,1.0,180,84.13427530191886,85.95394771185619,91.92916198699716,4.321696893218075,Debate,87.33912833359074,Strong,True,High,0.3052363980518663
S1072,Female,9,Low,0.9050621510912557,163,62.129936205024684,74.7039371548211,73.96513952468871,4.973266240209717,None,70.26633762817816,Average,True,Moderate,0.012030191905627463
S1075,Male,9,Middle,1.0,180,63.41195492708326,48.39328931897167,39.65962552323764,7.068829994565178,None,50.48828992309752,Below Average,True,Critical,4.755855038451241
S1078,Female,12,High,0.9835054692109753,177,54.09273608991438,58.77862680521565,41.371053979132725,6.42843257544315,None,51.414138958087584,Below Average,True,Critical,4.292930520956208
S1079,Female,11,Low,0.8144756308146132,147,97.60898125296399,75.5199154316975,71.68915534632544,5.999051494275838,None,81.6060173436623,Strong,True,High,2.9933529214885395
S1080,Male,12,Low,0.8490044892400536,153,100.0,72.74556805312287,74.86089840146775,7.752521459175827,Sports,82.53548881819687,Strong,True,High,1.784842876598126
S1081,Male,11,Middle,0.797646069334394,144,61.707857303987176,50.99928836829208,77.93656789663638,5.638929000292943,Science Club,63.54790452297188,Below Average,True,Low,3.582387573296211
S1083,Female,10,High,0.9630525353477578,173,100.0,100.0,80.54330825742099,4.335349512371888,Sports,93.514436085807,Strong,True,High,0.2990927194326504
