StudentID,Gender,Grade,SES,AttendanceRate,AttendanceDays,MathScore,ReadingScore,ScienceScore,BehaviourScore,Extracurricular,AverageScore,PerformanceBand,AtRisk,PerformanceCategory,RiskScore
S1000,Female,12,Low,0.9386544539358803,169,92.49696863013968,79.94300604967273,90.09423166897622,10.0,None,87.51140211626289,Strong,False,High,0.0
S1001,Male,9,Middle,1.0,180,89.75255240346783,97.08149825427024,62.950445903704676,9.427817053185963,None,83.26149885381426,Strong,False,High,0.0
S1002,Male,9,Middle,0.9714595773921212,175,56.17839688358014,42.95333429645631,73.10093616197759,6.916000357001305,Science Club,57.41088911400468,Below Average,False,Low,1.294555442997659
S1003,Male,10,Middle,0.9104036882021944,164,74.13287795323643,90.74951227694619,74.35973455873511,5.4082533642649935,Arts,79.74737492963925,Average,False,High,0.0
S1004,Female,12,Middle,0.9188590275258387,165,59.847326896214916,62.45292856500495,72.27411733791324,10.0,Arts,64.85812426637771,Below Average,False,Low,0.0
S1005,Female,9,High,0.8598482381217315,155,63.062774160137245,75.21015787911679,52.75543612356833,7.506593181226079,None,63.67612272094079,Below Average,False,Low,1.4053116657393983
S1006,Female,11,Middle,0.9188892118404567,165,67.1126106254707,66.9758010265329,68.01901195975927,7.425072725443304,Debate,67.36914120392096,Average,False,Moderate,0.0
S1007,Male,12,Middle,0.9026804816647918,162,56.84462454720743,64.74288973622626,48.097955132105646,7.356574843201995,None,56.56182313851311,Below Average,False,Low,1.7190884307434438
S1008,Male,9,Middle,0.9393631136202855,169,85.13982079107313,76.71016505742776,63.344569928379876,7.756552569382139,None,75.06485192562693,Average,False,High,0.0
S1009,Male,11,Low,0.8703661433868607,157,53.08252558087251,65.05797564322339,78.1689121417354,7.140151258536904,None,65.43647112194377,Average,False,Moderate,1.0371849814598766
S1010,Female,10,Middle,0.9511607908544704,171,73.37676546774448,80.02998674816595,70.3386579017246,6.3674083876155745,Science Club,74.58180337254502,Average,False,Moderate,0.0
S1011,Non-binary,11,Low,1.0,180,66.9998321038686,82.35951545780223,70.57147141840758,6.415653905767295,Sports,73.31027299335948,Average,False,Moderate,0.0
